coordonnees;date
0.9752000402445825;2015-08-20
0.9712569994658314;2015-08-21
0.9670277247913204;2015-08-22
0.9625134626077081;2015-08-23
0.9577155432887803;2015-08-24
0.9526353808033826;2015-08-25
0.947274472298717;2015-08-26
0.941634397659126;2015-08-27
0.9357168190404936;2015-08-28
0.9295234803804003;2015-08-29
0.9230562068841761;2015-08-30
0.9163169044870048;2015-08-31
0.9093075592922358;2015-09-01
0.9020302369860708;2015-09-02
0.8944870822287957;2015-09-03
0.8866803180227402;2015-09-04
0.8786122450571484;2015-09-05
0.8702852410301554;2015-09-06
0.8617017599480683;2015-09-07
0.8528643314021599;2015-09-08
0.8437755598231858;2015-09-09
0.8344381237138474;2015-09-10
0.8248547748594245;2015-09-11
0.8150283375168116;2015-09-12
0.8049617075821961;2015-09-13
0.7946578517376253;2015-09-14
0.7841198065767107;2015-09-15
0.7733506777097301;2015-09-16
0.7623536388483905;2015-09-17
0.7511319308705201;2015-09-18
0.7396888608649671;2015-09-19
0.7280278011569851;2015-09-20
0.7161521883143936;2015-09-21
0.7040655221348059;2015-09-22
0.6917713646142223;2015-09-23
0.6792733388972934;2015-09-24
0.6665751282095635;2015-09-25
0.6536804747720063;2015-09-26
0.6405931786981756;2015-09-27
0.6273170968742942;2015-09-28
0.6138561418226123;2015-09-29
0.6002142805483686;2015-09-30
0.586395533370696;2015-10-01
0.5724039727378153;2015-10-02
0.5582437220268652;2015-10-03
0.5439189543287252;2015-10-04
0.5294338912181857;2015-10-05
0.5147928015098311;2015-10-06
0.5000000000000003;2015-10-07
0.4850598461951964;2015-10-08
0.4699767430273202;2015-10-09
0.4547551355561058;2015-10-10
0.43939950965914154;2015-10-11
0.42391439070986053;2015-10-12
0.4083043422438931;2015-10-13
0.3925739646141715;2015-10-14
0.37672789363518466;2015-10-15
0.3607707992167828;2015-10-16
0.3447073839879332;2015-10-17
0.328542381910834;2015-10-18
0.31228055688579387;2015-10-19
0.2959267013472885;2015-10-20
0.27948563485160843;2015-10-21
0.2629622026565136;2015-10-22
0.24636127429331353;2015-10-23
0.22968774213179421;2015-10-24
0.2129465199384143;2015-10-25
0.19614254142819545;2015-10-26
0.17928075881073402;2015-10-27
0.16236614133076202;2015-10-28
0.14540367380368802;2015-10-29
0.128398355146549;2015-10-30
0.11135519690480676;2015-10-31
0.0942792217754223;2015-11-01
0.0771754621266441;2015-11-02
0.06004895851494593;2015-11-03
0.04290475819955193;2015-11-04
0.025747913654985993;2015-11-05
0.00858348108208439;2015-11-06
-0.00858348108208982;2015-11-07
-0.02574791365499142;2015-11-08
-0.04290475819955736;2015-11-09
-0.06004895851495135;2015-11-10
-0.07717546212664951;2015-11-11
-0.09427922177542772;2015-11-12
-0.11135519690481216;2015-11-13
-0.12839835514655437;2015-11-14
-0.14540367380369337;2015-11-15
-0.16236614133076738;2015-11-16
-0.17928075881073938;2015-11-17
-0.19614254142820078;2015-11-18
-0.21294651993841962;2015-11-19
-0.22968774213179952;2015-11-20
-0.24636127429331878;2015-11-21
-0.2629622026565188;2015-11-22
-0.27948563485161365;2015-11-23
-0.29592670134729365;2015-11-24
-0.312280556885799;2015-11-25
-0.3285423819108391;2015-11-26
-0.3447073839879383;2015-11-27
-0.3607707992167879;2015-11-28
-0.3767278936351897;2015-11-29
-0.3925739646141765;2015-11-30
-0.4083043422438981;2015-12-01
-0.4239143907098655;2015-12-02
-0.4393995096591462;2015-12-03
-0.45475513555611025;2015-12-04
-0.4699767430273244;2015-12-05
-0.4850598461952004;2015-12-06
-0.500000000000004;2015-12-07
