"CM1" "CM2" "CM3" "CM4" "CM5" "CM6" "CM7" "CM8" "CM9" "CM10" "CM11" "CM12" "CM13" "CM14" "CM15" "CM16" "CM17" "CM18" "CM19" "CM20" "CM21" "CM22" "CM23" "CM24" "CM25" "CM26" "CM27" "CM28" "CM29" "CM30" "CM31" "CM32" "CM33" "CM34" "CM35" "CM36" "CM37" "CM38" "CM39" "CM40" "CM41" "CM42" "CM43" "CM44" "CM45" "CM46" "CM47" "CM48" "CM49" "CM50" "CM51" "CM52" "CM53" "CM54" "CM55" "CM56" "CM57" "CM58" "CM59" "CM60" "CM61" "CM62" "CM63" "CM64" "CM65" "CM66" "CM67" "CM68" "CM69" "CM70" "CM71" "CM72"
"Ingenico" 27.862857143 26.713809524 26.355652174 29.458333333 30.748181818 33.22952381 35.429 36.919565217 36.951428571 37.103636364 41.337727273 40.164736842 41.660454545 39.492 36.112727273 37.711578947 37.660909091 37.244 37.556363636 36.394782609 28.5815 28.795217391 29.713636364 27.642777778 28.779545455 27.2965 29.5415 30.041428571 28.397727273 25.6835 22.641304348 21.664545455 18.423809524 16.326086957 17.137142857 17.174 15.837272727 13.5485 11.197142857 13.5155 14.016190476 15.118571429 16.190434783 17.838571429 18.034545455 17.212173913 18.26 17.8815 19.751904762 20.4665 18.607391304 18.6925 17.807619048 18.890454545 18.696363636 19.239090909 20.394090909 20.728571429 20.753636364 21.744347826 22.006190476 22.6135 23.460952381 22.62047619 21.948181818 22.973181818 24.200952381 24.048695652 23.975909091 24.077142857 26.303181818 28.98047619
"Ini-Fin" 27.513333333 58.350952381 77.05 55.308333333 54.002272727 51.635714286 44.2665 44.785217391 50.16 41.901363636 39.668181818 30.867894737 31.335454545 29.988 24.35 23.198421053 26.173181818 22.9565 23.097727273 26.86 23.8315 22.652608696 25.580454545 25.451111111 25.114545455 24.7715 26.221 26.550952381 25.405909091 21.9355 17.609130435 13.375 11.357142857 7.1717391304 9.9947619048 9.0115 7.9295454545 6.529 5.710952381 6.44 7.6733333333 8.7095238095 8.8856521739 9.229047619 9.5981818182 9.4817391304 11.136 12.07 12.288571429 12.216 11.986956522 11.9565 10.855238095 14.205909091 14.778181818 14.237272727 14.977272727 13.954761905 12.683636364 11.436956522 12.473333333 12.5785 12.955238095 12.6815 11.639545455 11.905454545 11.403333333 10.816086957 11.28 12.547142857 12.967727273 13.285714286
"Part-Bois" 17.584285714 26.018947368 22.876818182 17.084444444 13.086190476 12.118095238 10.4105 10.537391304 11.856190476 9.7472727273 9.1913636364 8.8415789474 8.1838095238 8.87 7.5772727273 6.1384210526 6.6054545455 7.107 7.5263636364 8.0247826087 6.982 6.6765217391 8.8890909091 12.402222222 12.921818182 12.823 12.6855 12.950952381 11.944545455 9.763 9.9917391304 9.8709090909 9.4523809524 9.2134782609 9.7380952381 10.474 9.8140909091 9.035 7.0123809524 6.7215 7.6114285714 8.6238095238 8.947826087 9.2028571429 9.2372727273 9.7173913043 9.794 9.6728571429 11.465714286 11.54 12.15173913 12.4225 12.276190476 13.434545455 14.869545455 14.679090909 14.331818182 13.884285714 14.072272727 15.186956522 15.062380952 16.454 17.713809524 16.806666667 16.783181818 18.382727273 19.92047619 20.200869565 19.84 19.251428571 18.765454545 19.467142857
"I-Trigano" 26.723809524 29.911428571 32.964782609 30.841666667 32.401818182 33.1025 30.2885 28.724347826 30.085238095 29.169545455 31.202272727 36.264736842 37.605 35.39 33.248636364 33.237368421 35.688636364 35.086 35.258181818 33.859130435 27.882 29.678695652 30.571363636 28.634444444 27.999545455 28.5545 29.611 30.725238095 30.151363636 24.7545 19.540434783 15.974545455 18.922857143 17.373913043 19.125238095 21.922 20.178636364 18.5465 16.778571429 18.709 21.035238095 22.127619048 22.705652174 22.573333333 25.526818182 26.550434783 29.2355 32.291428571 31.783333333 31.236 32.190869565 31.055 29.026666667 29.091363636 29.572272727 28.431818182 27.240454545 27.437619048 27.097727273 26.616086957 29.026666667 31.787 31.738571429 30.414285714 30.206363636 30.345 30.637142857 29.888695652 31.768636364 33.047619048 31.412727273 33.826666667
"Text-Ass" 17.865238095 17.377 19.646086957 19.401111111 18.426363636 18.0775 17.4005 18.049565217 17.901428571 18.036818182 18.007272727 17.941578947 18.2 18.026 17.820909091 17.733157895 17.453181818 17.279 17.415454545 19.339565217 17.8995 16.240434783 17.686818182 17.010555556 16.658636364 15.305294118 16.226111111 16.033333333 17.403181818 16.5555 16.563181818 16.390454545 16.5325 16.235217391 15.490952381 15.504736842 15.314090909 15.711764706 17.488666667 17.961875 18.12875 18.854666667 20.0915 20.236111111 21.238636364 19.762608696 19.5245 19.8635 20.028095238 19.6875 19.501304348 19.05875 19.0725 19.507142857 21.042727273 21 21.257727273 21.108095238 21.297142857 21.219130435 22.901904762 22.948947368 23.274761905 23.274761905 24.781818182 24.927727273 24.714 24.293043478 23.99 22.448571429 21.932727273 22.078095238
"Ipo" 63.533333333 85.19047619 93.263043478 71.213888889 79.621052632 80.28 87.1825 90.968181818 85.802380952 72.242857143 83.092857143 87.615789474 88.525 94.42 101.7 113.27368421 121.09545455 126.91 116.41818182 108 105.5775 103.29130435 116.78181818 127.27777778 131.25 143.145 139.95 131.06666667 136.27272727 132.73 106.87608696 87.347727273 84.39047619 61.536956522 64.292857143 64.57 55.938636364 49.0135 35.49047619 34.843 40.02952381 40.02047619 40.449565217 41.055714286 51.686363636 52.730434783 63.6525 68.521428571 72.654761905 79.5125 76.113043478 79.14 78.721428571 79.297727273 75.665909091 74.386363636 75.554545455 73.669047619 80.638636364 85.318181818 90.145238095 90.786111111 91.808333333 88.7225 87.223333333 91.847368421 97.453125 94.821875 92.184210526 91.832142857 88.542307692 91.221875
"Link" 83.352380952 122.43333333 161.22608696 132.15555556 118.33181818 118.91428571 118.635 141.11304348 139.53333333 115.61363636 112.86818182 112.21052632 102.78636364 100.3425 90.284090909 78.986842105 90.525 77.9925 65.85 71.269565217 56.6865 59.463043478 62.684090909 62.758333333 66.463636364 65.62 69.6725 78.535714286 77.990909091 71.5925 64.402173913 59.125 54.343333333 54.589130435 58.69047619 56.35 49.16 41.883 41.887142857 45.7395 51.004761905 55.535714286 57.817391304 62.971428571 65.063636364 69.154347826 74.755 74.616666667 71.597619048 76.025 77.813043478 83.235 84.8 89.018181818 86.852272727 81.711363636 80.147727273 74.023809524 76.081818182 75.72826087 81.10952381 83.0175 81.997619048 81.904761905 79.404545455 83.643181818 87.278571429 91.15 95.806818182 100.91428571 101.05227273 106.32857143
"IT-Cac" 21.19 48.171428571 101.43043478 66.672222222 54.317727273 48.531428571 29.592 22.125652174 35.94047619 24.315454545 18.939090909 12.763684211 9.5972727273 9.925 7.0536363636 5.1610526316 6.2018181818 4.8535 4.005 3.6839130435 2.4975 2.4434782609 2.8745454545 4.8194444444 5.4518181818 4.2425 5.3815 4.59 3.6881818182 2.5375 2.3873913043 1.8254545455 1.4861904762 1.2926086957 1.7033333333 2.0495 1.7177272727 1.6185 1.2614285714 1.3421052632 1.6571428571 1.8404761905 1.7504347826 1.7295238095 2.1831818182 2.457826087 2.7465 2.3 2.2604761905 2.5825 2.4665217391 2.2285 1.9595238095 1.9331818182 1.8327272727 1.3759090909 1.4140909091 1.7261904762 1.845 1.8639130435 2.2 4.0595 3.9166666667 3.690952381 3.5131818182 3.5004545455 3.4233333333 3.8930434783 4.4145454545 5.7423809524 7.3454545455 6.8642857143
"Itesoft" 2540.3438095 3426.5471429 3894.7691304 3151.5138889 3070.4954545 3083.1 3032.8835 3022.4 3151.4657143 2665.3709091 2488.7122727 2229.7989474 2204.6659091 2103.9426316 1764.2936364 1742.8563158 1869.3986364 1612.81 1378.8631818 1340.2465217 1019.604 1096.2282609 1324.632381 1366.7133333 1357.5718182 1213.063 1299.249 1229.3085714 1057.3277273 873.03368421 741.60956522 689.31181818 575.71857143 529.33347826 661.97047619 686.34 685.98045455 652.178 627.01095238 683.7215 722.57857143 772.24952381 776.42086957 820.67571429 883.73227273 893.29217391 945.75421053 954.94238095 1011.567619 1014.331 982.7073913 984.7 910.10095238 930.12285714 900.27545455 831.70727273 840.94545455 864.71761905 909.88454545 929.07304348 947.23333333 967.294 962.42095238 936.8852381 926.55 971.16545455 1015.2466667 1022.7034783 1030.9163636 1034.9514286 1030.4263636 1071.242381
"Decaux" 6.86 6.8252380952 6.9726086957 7.2883333333 7.4436363636 9.0633333333 8.9685 9.0373913043 11.31952381 9.8305 11.001818182 10.508421053 10.477272727 11.1315 11.652272727 12.918421053 14.165 13.703 13.083181818 12.862608696 11.623 12.065652174 12.004545455 11.119444444 10.609545455 10.981 11.54 10.940952381 10.277272727 9.664 9.642173913 9.0786363636 8.8085714286 7.112173913 5.7252380952 6.335 6.3477272727 6.6315 6.8555555556 6.9735 8.2873684211 8.007 7.6895652174 7.4819047619 7.33 7.1965217391 7.0347368421 7.0505555556 8.2180952381 9.928 13.443043478 14.937 13.925714286 15.925454545 18.981818182 18.312272727 18.956818182 23.103333333 24.913636364 30.41826087 40.481904762 41.2325 42.301904762 39.551428571 36.833181818 41.711363636 45.186190476 43.881304348 46.415909091 49.879047619 48.456363636 48.836666667
"Dolisos" 32.362857143 31.396666667 30.892173913 30.606111111 30.301818182 30.906666667 32.963 33.796521739 34.447619048 33.993636364 33.093181818 33.181578947 33.815909091 34.508 34.411363636 33.909473684 34.504090909 34.938 34.456363636 34.639565217 33.012 33.089130435 35.140909091 35.725555556 36.530909091 38.146 38.5975 40.012380952 41.685909091 42.2375 41.16173913 40.379545455 39.907619048 37.324782609 39.829047619 43.145 42.459545455 40.113 39.98 40.5675 42.309047619 42.897619048 43.672173913 44.427619048 45.854090909 47.052173913 47.365 47.704285714 49.147619048 50.812 56.297826087 54.2375 53.785714286 55.659090909 55.552272727 56.95 60.427272727 58.60952381 61.820454545 64.823913043 64.478571429 71.165 68.326190476 71.361904762 74.259090909 78.702272727 79.8 79.913043478 80.786363636 80.323809524 78.275 77.423809524
"Lafuma" 105.04571429 84.42047619 83.32173913 90.466666667 90.972727273 81.978571429 85.9275 86.632608696 83.385714286 78.270454545 85.036363636 88.913157895 96.993181818 104.1175 103.42727273 103.46842105 108.62272727 103.335 102.54090909 101.48478261 90.25 94.95 98.727272727 103.27777778 101.53409091 101.9 102.3025 104.01904762 108.65909091 103.075 94.943478261 89.565909091 88.657142857 75.57826087 79.421428571 73.9125 67.393181818 54.3475 51.868571429 56.4625 58.611904762 55.033333333 56.97826087 61.102380952 60.85 58.989130435 64.0175 68.20952381 68.692857143 67.0075 66.97173913 69.26 68.904761905 70.904545455 71.345454545 69.159090909 71.859090909 72.161904762 71.547727273 70.739130435 75.966666667 79.5575 76.697619048 73.369047619 72.290909091 74.593181818 76.869047619 76.993478261 73.815909091 70.311904762 69.756818182 74.552380952
"Lagardere" 42.646190476 36.485714286 37.511363636 38.405882353 38.679545455 40.829047619 41.642631579 43.086521739 43.474285714 42.258636364 42.737142857 45.622631579 46.105909091 47.2795 42.861363636 42.451111111 45.195 47.5725 48.115454545 48.846086957 44.458 43.670434783 41.761363636 42.245 44.010909091 43.231 43.3945 43.729047619 46.654545455 48.4375 45.67173913 45.746363636 45.349047619 45.45173913 45.169047619 46.9405 46.95 45.056 45.99 46.2255 48.134761905 53.661904762 55.463043478 56.745238095 58.231818182 59.193478261 57.4325 63.233333333 62.10952381 64.9375 63.476086957 62.4125 60.388095238 61.143181818 60.895454545 60.106818182 57.770454545 53.821428571 54.197727273 55.534782609 60.104761905 67.275 67.538095238 68.95 70.128571429 68.011363636 69.55 67.695652174 67.495454545 68.547619048 67.159090909 66.802380952
"L-Perrier" 69.545238095 93.402380952 95.115217391 74.366666667 73.247727273 80.60952381 76.3125 72.432608696 76.385714286 63.777272727 64.688636364 62.697368421 65.820454545 63.64 59.936363636 60.271052632 64.625 58.97 56.438636364 56.484782609 40.023 37.307391304 44.820454545 46.66 45.694545455 44.633 51.386 52.385714286 48.957272727 45.2565 41.738695652 39.972272727 37.772857143 40.005652174 44.051428571 40.8045 38.000454545 35.34 33.320952381 33.006 34.14952381 36.005714286 38.735217391 39.898095238 42.041363636 41.065652174 44.0255 46.134285714 47.501428571 47.9185 46.464347826 49.5695 49.626190476 50.568181818 49.961818182 48.544090909 50.841818182 50.644761905 52.881818182 53.334782609 55.426190476 58.6025 58.252380952 58.402380952 57.059090909 59.425 59.102380952 59.22173913 58.052272727 58.245238095 57.859090909 63.319047619
"Ldc" 38.09952381 37.799047619 30.783913043 30.77 32.838181818 31.438095238 30.2265 30.406956522 30.921904762 30.038636364 27.886363636 27.363157895 31.692272727 31.1415 29.827727273 29.800526316 31.305909091 33.207 32.212272727 32.05826087 26.251 24.536086957 22.086363636 24.073333333 24.705454545 25.86 27.9295 28.004285714 30.038181818 30.9695 29.204782609 31.487727273 28.852380952 29.008695652 30.465714286 30.4075 30.78 30.4215 29.65 29.648 30.759047619 27.395238095 27.119565217 28.099047619 28.855909091 29.170869565 29.2605 28.938095238 27.941428571 28.107 28.749565217 28.3085 28.75952381 28.68 28.612272727 28.144545455 28.278636364 27.53 28.609545455 33.615217391 34.031428571 33.9045 34.255238095 35.842380952 36.245909091 38.217727273 41.276190476 44.537391304 44.880454545 44.743809524 42.719545455 47.409047619
"LDLC" 45.17 41.645238095 38.439130435 41.63 44.983333333 44.80952381 43.3055 46.53826087 47.261904762 46.765714286 49.45952381 50.156842105 59.934090909 68.9475 70.806818182 67.015789474 66.519047619 64.0275 67.4175 67.8 61.1725 56.106521739 53.601363636 58.572222222 55.264285714 56.5675 58.5625 52.686190476 49.863809524 51.095 49.617 49.678235294 46.901111111 43.294090909 41.258947368 43.798 40.054545455 35.63 33.466190476 36.165 39.664761905 46.052857143 45.983478261 47.02047619 44.179090909 46.640869565 44.756 45.357 50.106190476 52.581 52.645652174 54.645 57.030952381 58.409090909 58.040909091 56.136363636 55.736363636 57.585714286 55.736363636 57.254347826 60.154761905 66.595 64.05 66.404761905 67.854545455 71.306818182 71.019047619 73.795652174 70.106818182 66.180952381 61.765909091 64.085714286
"Lectra" 50.832380952 48.497619048 59.534782609 59.663888889 59.936363636 57.997619048 54.31 53.360869565 54.383333333 53.184090909 53.036363636 54.139473684 56.365909091 58.6 58.979545455 59.228947368 57.92 56.547368421 55.644736842 56.625 52.19 49.126666667 50.2 49.329375 50.75 51.095555556 52.8875 54.665 55.672727273 56.9575 56.334782609 55.715 55.497619048 53.186363636 53.189473684 52.5525 51.737894737 50.123529412 51.826470588 52.344736842 55.252631579 54.758333333 54.288888889 55.613157895 57.011904762 59.128571429 60.995 60.5475 63.15952381 63.984210526 66.117391304 70.6375 69.573809524 68.095238095 68.590909091 68.9525 68.586842105 69.057142857 74.995454545 77.686956522 78.760526316 81.245 82.6825 87.283333333 86.370454545 86.397727273 88.326190476 94.219565217 91.970454545 93.719047619 96.777272727 99.585714286
"Leon-Brux" 6.941 14.021111111 19.822608696 16.793333333 17.305 16.021428571 15.766 14.81826087 17.138095238 16.117272727 12.460454545 10.201578947 12.319090909 12.044 8.6521052632 5.1389473684 6.3609090909 5.5745 4.8413636364 5.3404347826 3.8755 3.3539130435 3.6568181818 5.0144444444 5.2768181818 4.9565 5.4585 5.5261904762 5.1731818182 4.247 3.792173913 3.625 3.6885714286 3.51 4.7119047619 4.5225 4.0840909091 3.71 3.77 3.928 4.7295238095 5.2 4.9782608696 5.3728571429 5.6881818182 5.9239130435 6.9595 6.52 7.3576190476 7.883 7.4360869565 7.1285 6.6461904762 6.44 6.4904545455 6.4927272727 6.4918181818 6.1066666667 4.7386363636 5.042173913 5.2266666667 5.5895 5.2471428571 4.7719047619 3.9845454545 3.9268181818 4.0604761905 4.402173913 4.2340909091 4.3495238095 4.3781818182 4.46
"Lexibook" 30.666666667 27.475714286 24.172608696 18.392222222 15.264090909 13.024285714 11.234 9.5995652174 9.3614285714 7.0677272727 7.9304545455 5.9089473684 4.6868181818 4.4915 4.1159090909 3.0417647059 2.7638095238 2.300625 1.7041666667 1.7459090909 1.2425 1.1191304348 1.7836363636 2.3872222222 1.8159090909 1.5175 1.594 1.450952381 0.7985714286 0.4888888889 0.1308695652 0.1023809524 0.0776190476 0.0886956522 0.1028571429 0.084 0.0827272727 0.0889473684 0.0871428571 0.0885 0.0947619048 0.2371428571 0.2769565217 0.2852380952 0.3177272727 0.3543478261 0.375 0.425 0.4457142857 0.5225 0.5013043478 0.4885 0.4152380952 0.4154545455 0.3859090909 0.3290909091 0.3331818182 0.379047619 0.3904545455 0.4060869565 0.4238095238 0.4785 0.4766666667 0.4723809524 0.4631818182 0.45 0.4514285714 0.4413043478 0.4463636364 0.5071428571 0.4913636364 0.4852380952
"Locindus" 24.510952381 22.195238095 22.096086957 23.126111111 22.129090909 22.417142857 23.589 24.203478261 24.73 28.067272727 28.170909091 26.617894737 28.93 29.2755 28.973636364 30.656842105 30.718636364 30.379 29.631363636 29.215217391 21.175 17.550434783 18.130909091 22.521111111 21.863181818 23.1955 25.448 25.418571429 26.009545455 25.185 22.443043478 19.931818182 16.081904762 13.195652174 17.309047619 19.7055 18.607727273 17.7945 15.731904762 17.199473684 19.736190476 21.730952381 25.765217391 24.125238095 25.182272727 27.097391304 28.5555 29.80047619 32.14952381 34.5135 38.89173913 38.8265 37.634285714 39.994090909 41.575454545 40.609545455 40.029090909 40.256190476 39.680454545 39.12 44.677142857 50.745 55.983333333 55.116666667 52.868181818 54.436363636 58.928571429 58.858695652 55.081818182 52.347619048 47.900454545 45.75
"Louvre" 27.508571429 28.07952381 28.099130435 29.283888889 29.727727273 30.050952381 27.2055 27.733913043 27.542380952 27.486363636 27.472727273 28.122631579 29.126818182 30.307 31.104090909 32.126842105 33.118636364 33.615 31.168636364 32.913043478 30.4705 30.213043478 31.022272727 31.136111111 32.171363636 31.868 32.5915 33.602857143 34.300454545 33.7895 32.022608696 31.464545455 30.281904762 28.228695652 30.571428571 32.084 32.363636364 31.6365 29.323333333 29.4015 31.63047619 31.142857143 31.172173913 32.13047619 33.138636364 35.053913043 35.675 36.825714286 37.47952381 37.907 39.325217391 41.9625 42.213809524 40.625909091 40.311363636 39.748636364 40.213636364 40.127619048 42.624545455 43.833913043 45.687619048 48.8395 49.992380952 49.423333333 49.069545455 47.224545455 45.734761905 47.983478261 47.784090909 43.227142857 41.474545455 37.342380952
"Lvmh" 37.043333333 38.337619048 39.283478261 40.702941176 43.681363636 43.241428571 47.12 54.693478261 55.061904762 61.020454545 70.443181818 71.131578947 73.795454545 75.33 69.047727273 61.344736842 66.011363636 59.449230769 21.510952381 21.334347826 14.1615 14.413043478 20.761363636 24.658333333 27.295 33.1735 36.88 35.597142857 34.901818182 27.6415 14.476190476 10.606818182 8.2980952381 5.2056521739 7.9380952381 8.681 8.0713636364 5.8065 4.300952381 5.011 6.79 7.7138095238 6.6569565217 4.5638095238 4.3940909091 3.7734782609 3.911 3.8752380952 3.8557142857 3.5725 2.9726086957 2.7235 2.2804761905 3.13 4.9494736842 4.3286363636 4.3436363636 4.0861904762 4.2854545455 5.7469565217 6.2928571429 6.08 5.9319047619 6.1061904762 5.3963636364 6.6090909091 8.4619047619 8.9813043478 9.4395454545 10.533333333 9.1522727273 10.261428571
"Lycos" 85.206666667 80.903809524 81.53826087 87.233333333 91.292727273 88.418095238 90.2425 93.130434783 86.921428571 82.956818182 83.131818182 72.734210526 69.531818182 67.9675 59.029545455 60.505263158 67.718181818 63.0225 57.2 56.769565217 41.453 38.052173913 43.858636364 45.764444444 45.762272727 47.6795 58.3175 56.661904762 59.109090909 51.6035 44.91 43.238636364 40.35 39.295217391 44.693809524 42.179 38.22 38.6885 39.165238095 38.305 40.835714286 44.786666667 46.27 50.130952381 54.538636364 57.213043478 58.71 57.25 60.030952381 59.4225 59.191304348 60.7275 57.773809524 58.668181818 57.85 53.197727273 54.672727273 55.00952381 55.420454545 54.580434783 54.792857143 55.5925 56.997619048 56.611904762 56.913636364 62.284090909 66.447619048 66.230434783 67.370454545 67.538095238 70.154545455 74.95952381
